,timestamp,sensor,severity,message,recommendation
0,2025-06-27 16:55:23,Engine Oil Pressure,Critical,Critical: Engine Oil Pressure at 71.20300000000002 psi. Immediate action recommended.,Immediate oil change and pressure system inspection required.
1,2025-06-27 16:55:23,Engine Coolant Temperature,Critical,Critical: Engine Coolant Temperature at 110.00000000000001 °C. Immediate action recommended.,"Check cooling system, radiator, and coolant level immediately. Engine overheating risk."
2,2025-06-27 16:55:23,Fuel Pressure,Critical,Critical: Fuel Pressure at 60 psi. Immediate action recommended.,"Inspect fuel lines, pump, and filter for blockage or leaks. Engine performance severely impacted."
3,2025-06-27 16:55:23,Engine Manifold Pressure,Critical,Critical: Engine Manifold Pressure at 1.4520000000000002 bar. Immediate action recommended.,"Check for turbocharger/supercharger issues, manifold leaks, or sensor malfunction."
4,2025-06-27 16:55:23,Brake Fluid Pressure,Critical,Critical: Brake Fluid Pressure at 2364.924 psi. Immediate action recommended.,Urgent brake system inspection for fluid leaks or master cylinder failure. Do not operate.
5,2025-06-27 16:55:23,Tire Pressure FL,Critical,Critical: Tire Pressure FL at 110 psi. Immediate action recommended.,Check for leaks and inflate tire immediately. Do not operate on low pressure.
6,2025-06-27 16:55:23,Tire Pressure FR,Critical,Critical: Tire Pressure FR at 110 psi. Immediate action recommended.,Check for leaks and inflate tire immediately. Do not operate on low pressure.
7,2025-06-27 16:55:23,Tire Pressure RL,Critical,Critical: Tire Pressure RL at 110 psi. Immediate action recommended.,Check for leaks and inflate tire immediately. Do not operate on low pressure.
8,2025-06-27 16:55:23,Tire Pressure RR,Critical,Critical: Tire Pressure RR at 110 psi. Immediate action recommended.,Check for leaks and inflate tire immediately. Do not operate on low pressure.
9,2025-06-27 16:55:23,Tire Temperature FL,Critical,Critical: Tire Temperature FL at 57.57 °C. Immediate action recommended.,"Stop operation, allow tire to cool. Check for over-inflation, overloading, or brake dragging."
10,2025-06-27 16:55:23,Tire Temperature FR,Critical,Critical: Tire Temperature FR at 58.53 °C. Immediate action recommended.,"Stop operation, allow tire to cool. Check for over-inflation, overloading, or brake dragging."
11,2025-06-27 16:55:23,Tire Temperature RL,Critical,Critical: Tire Temperature RL at 58.35 °C. Immediate action recommended.,"Stop operation, allow tire to cool. Check for over-inflation, overloading, or brake dragging."
12,2025-06-27 16:55:23,Tire Temperature RR,Critical,Critical: Tire Temperature RR at 58.78 °C. Immediate action recommended.,"Stop operation, allow tire to cool. Check for over-inflation, overloading, or brake dragging."
